Country,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,GDP Growth 1991-2003,GDP Growth 2003-2015
United States,6158.129,6858.559,7639.749,8577.554463,9630.664202,10581.821399,11458.243878,13036.640229,14451.85865,14448.933025,15542.581104,16784.84919,18219.297584,0.8606696738571081,0.5900602027664401
China,383.373318083624,444.731282436762,734.5478982205079,961.6039529518199,1093.99726727106,1339.3957188653,1660.2879656626799,2285.9658923605402,3550.34242523825,5101.7024328834505,7551.500425597769,9570.40575873979,11015.542352468901,3.3307342669594093,5.634717940674952
Japan,3584.42007710084,4454.14387694721,5449.116304981099,4414.73284354443,4562.07882233545,4303.54425984272,4445.65807122186,4755.41063091214,4515.264514430571,5231.3826745937,6157.45959482372,5155.71705627083,4389.4756225889705,0.24027261749342976,-0.012637600043191866
Germany,1868.9451974071899,2071.32379037028,2585.7922751467204,2211.98962327995,2194.20413381632,1944.1073825503402,2496.12866817156,2845.80276085064,3421.22912674514,3397.7910530702998,3744.40860268394,3732.74344621892,3360.54997388858,0.3355815203326825,0.34630478658386527
United Kingdom,1142.79717813051,1061.38872225555,1341.584345905,1559.0782580222701,1682.39928814108,1640.24614941701,2053.0187755102,2538.68,3100.88235294118,2410.90979903412,2659.31005464623,2786.02287270681,2928.59100200251,0.796485688622991,0.4264803794961492
France,1269.27682827578,1322.815612694,1601.09475620975,1452.88491795909,1492.64756019604,1376.46532438479,1840.48081264108,2196.12610371844,2657.21324938407,2690.22228396777,2861.40817026461,2811.0777257035897,2438.20789625184,0.45002317196733127,0.32476681066455926
India,270.105341879226,279.296022987919,360.28195271679704,415.867753863874,458.820417337807,485.44101453863794,607.6992854338721,820.381595512902,1216.73544152486,1341.8866027986899,1823.0504053504199,1856.72212139453,2103.58781381275,1.2498602997107577,2.4615604530633526
Italy,1246.22015545497,1064.95807591977,1174.66207060502,1241.87960436562,1252.02375878969,1167.0127964205801,1574.14582392777,1857.5243128964098,2210.29263618943,2191.24187274243,2291.99104577029,2141.31532731821,1835.8992373200401,0.26313622600099973,0.16628282425522023
Brazil,602.86,437.798577639752,769.3053861828491,883.199625324675,599.388579985673,559.3722760819661,558.319920831979,891.630177251068,1397.08434995635,1667.0197835850802,2616.20098039216,2472.80691990167,1802.21437374132,-0.07388129776070906,2.22792418199185
Canada,610.328183643188,577.170761956438,604.031623433401,652.823920265781,676.0840008076999,736.3797778925621,892.382413817715,1169.35797986466,1464.97719020575,1371.15300498644,1789.1406652028402,1842.0184208531,1552.89992523371,0.4621353523130474,0.7401731602825126
