Time, in s	Altitude in m	Velocity in m/s
0	0	0
0.1	0.0238351671	0.2429198378
0.2	0.0855452849	0.5007011031
0.3	0.1847895059	0.7141537588
0.4	0.283863303	0.9387311786
0.5	0.4109598595	1.1987779048
0.6	0.5659087516	1.3810763039
0.7	0.7485395554	1.5804922094
0.8	0.9586818471	1.8021443353
0.9	1.1961652029	2.0168450057
1	1.4608191988	2.2338235706
1.1	1.7524734111	2.4457540873
1.2	2.0709574159	2.6478642979
1.3	2.4161007893	2.8440993212
1.4	2.7877331076	3.0269268551
1.5	3.1856839468	3.1856570138
1.6	3.6097828831	3.3332288463
1.7	4.0598594926	3.4695747247
1.8	4.5357433516	3.5856502197
1.9	5.0372640362	3.6842742979
2	5.5642511225	3.7690117181
2.1	6.1165341866	3.8421718053
2.2	6.6939428048	3.9063634469
2.3	7.2963065532	3.9647812122
2.4	7.9234550079	4.0218215899
2.5	8.5752177451	4.0834723318
2.6	9.251424341	4.1576119517
2.7	9.9519043716	4.2533721904
2.8	10.6764874132	4.3804413001
2.9	11.4250030419	4.5418315875
3	12.1972808339	4.7316318442
3.1	12.9931503653	4.9657073345
3.2	13.8124412122	5.2244890341
3.3	14.6549829509	5.487954781
3.4	15.5206051574	5.7771961503
3.5	16.4091374079	6.068742594
3.6	17.3204092787	6.3590336809
3.7	18.2542503457	6.6523546357
3.8	19.2104901853	6.9460916951
3.9	20.1889583734	7.235196951
4	21.1894844864	7.5461546675
4.1	22.2118981003	7.863614985
4.2	23.2560287913	8.1810753025
4.3	24.3217061356	8.4985356199
4.4	25.4087597093	8.8371678265
4.5	26.5170190885	9.1644766708
4.6	27.6463138494	9.5102920499
4.7	28.7964735682	9.864019554
4.8	29.967327821	10.1926877138
4.9	31.158706184	10.529815185
5	32.3704382333	10.8769883587
5.1	33.6023535451	11.1886599233
5.2	34.8542816955	11.5001679073
5.3	36.1260522607	11.8021030369
5.4	37.4174948169	12.0746662629
5.5	38.7284389401	12.360473852
5.6	40.0587142066	12.6582670157
5.7	41.4081501925	12.965545633
5.8	42.7765764739	13.3073053539
5.9	44.163822627	13.6445927361
6	45.569718228	13.9917595712
6.1	46.994092853	14.3581482245
6.2	48.4367760781	14.7240966507
6.3	49.8975974796	15.0681864164
6.4	51.3763866335	15.3902847209
6.5	52.8729731161	15.7077450384
6.6	54.3871865034	16.0252053558
6.7	55.9188563717	16.3284843435
6.8	57.4678122971	16.6264608616
6.9	59.0338838557	16.9062993846
7	60.6169006237	17.1807067069
7.1	62.2166921772	17.4739978812
7.2	63.8330880924	17.751775659
7.3	65.4659179455	18.0494069322
7.4	67.1150113126	18.3668672496
7.5	68.7801977698	18.6843275671
7.6	70.4613068933	19.031567402
7.7	72.1581682593	19.4051338061
7.8	73.870611444	19.7777125792
7.9	75.5984660234	20.1485276346
8	77.3415615737	20.5495563811
8.1	79.0997276711	20.946381778
8.2	80.8727938917	21.3432071748
8.3	82.6605898117	21.7516921964
8.4	84.4629450072	22.1485175933
8.5	86.2796890545	22.5447133031
8.6	88.1106515295	22.9410055098
8.7	89.9556620086	23.2857856497
8.8	91.8145500678	23.6032459671
8.9	93.6871452834	23.9021527727
9	95.5821158406	24.14806998
9.1	97.5358859187	24.371573635
9.2	99.585034038	24.594862644
9.3	101.7640446281	24.8408999746
9.4	104.1053080279	25.1069836246
9.5	106.6391204858	25.424443942
9.6	109.3936841596	25.7819315702
9.7	112.3862685071	26.178756967
9.8	115.6042929016	26.6298564867
9.9	119.0329282849	27.0663644232
10	122.6573455986	27.5031567129
10.1	126.4627157843	27.9396646494
10.2	130.4342097839	28.3761725859
10.3	134.5569985388	28.8111996187
10.4	138.8162529909	29.2477075552
10.5	143.1971440817	29.6445329521
10.6	147.6848427529	30.0413583489
10.7	152.2645199462	30.4308061475
10.8	156.9213466032	30.8075041269
10.9	161.6404936657	31.1526939561
11	166.4071320753	31.4779685696
11.1	171.2064327736	31.7695184357
11.2	176.0235667024	32.0472962134
11.3	180.8437048032	32.3465029085
11.4	185.6520180178	32.635302877
11.5	190.3212515797	32.9332080723
11.6	194.8452895168	33.2626214176
11.7	199.2206883365	33.6104773971
11.8	203.4466770253	33.9935307056
11.9	207.5251570492	34.4106643323
12	211.4607023535	34.8167080547
12.1	215.2605593628	35.2036230486
12.2	219.0470726891	35.6263003982
12.3	222.8241206294	36.023125795
12.4	226.5955814806	36.4411134181
12.5	230.3653335397	36.8581255157
12.6	234.1372551035	37.2743252223
12.7	237.9152244691	37.6999748184
12.8	241.7031199333	38.1610656514
12.9	245.5048197932	38.5939405753
13	249.3242023455	39.0075750466
13.1	253.1651458874	39.4304217108
13.2	257.0315287156	39.831315243
13.3	260.9272291272	40.2281406399
13.4	264.8561254191	40.6243189189
13.5	268.8220958882	41.0211443157
13.6	272.8290188314	41.3957507723
13.7	276.8807725458	41.8154496343
13.8	280.9812353281	42.2077304502
13.9	285.1342854755	42.6199835505
14	289.3437816092	43.056491487
14.1	293.6131101381	43.4738576388
14.2	297.9447327211	43.8904358213
14.3	302.3401665921	44.3269437578
14.4	306.7999845594	44.7237691546
14.5	311.3238150063	45.1192612198
14.6	315.9103418906	45.5160866166
14.7	320.5573244204	45.8930652822
14.8	325.2620495914	46.289890679
14.9	330.0217847235	46.6867864655
15	334.8337971365	47.0836118624
15.1	339.6953541507	47.5012249047
15.2	344.6037230858	47.9049459232
15.3	349.5561712619	48.291156794
15.4	354.549965999	48.6438829702
15.5	359.582374617	49.0266625364
15.6	364.650664436	49.3906413261
15.7	369.7521027758	49.7477841832
15.8	374.8839569566	50.1146667158
15.9	380.0434942981	50.4844531362
16	385.2279825563	50.8522105193
16.1	390.4348376346	51.2732993283
16.2	395.6619856751	51.6841705558
16.3	400.9079175248	52.1127461718
16.4	406.1716887351	52.5492541083
16.5	411.4529195623	52.9632952132
16.6	416.7517949674	53.3998031497
16.7	422.0690641804	53.8544820546
16.8	427.4058929881	54.2909899911
16.9	432.7635016433	54.7274979276
17	438.1431103992	55.1648680643
17.1	443.5459395085	55.5878706042
17.2	448.9732092242	56.0163180514
17.3	454.4261397994	56.4333323736
17.4	459.9059514868	56.8426798727
17.5	465.4138645395	57.2148851351
17.6	470.9510992104	57.5976498176
17.7	476.5188757524	57.9618233179
17.8	482.1184144185	58.3324715717
17.9	487.7509488896	58.7292969685
18	493.4178155438	59.127422433
18.1	499.1204898734	59.5332372987
18.2	504.8605865917	59.9943653696
18.3	510.6398596337	60.4278764307
18.4	516.4602021556	60.8541777566
18.5	522.3236465349	61.3131303637
18.6	528.2323509428	61.7297972159
18.7	534.1885100742	62.1223701693
18.8	540.1943187318	62.5434237545
18.9	546.2519717181	62.9402491513
19	552.3636638355	63.3144495983
19.1	558.5315898868	63.7345445147
19.2	564.7579446743	64.117175601
19.3	571.0449230007	64.5338420821
19.4	577.3947196684	64.9927960087
19.5	583.8095087998	65.4258355041
19.6	590.2909681888	65.8397360206
19.7	596.8398036539	66.3011960609
19.8	603.455728357	66.7377039974
19.9	610.1374628042	67.1738053086
20	616.8827348453	67.6103132451
20.1	623.6882796738	68.0256610754
20.2	630.5498605076	68.4414092647
20.3	637.4627442364	68.8806839161
20.4	644.4221770695	69.2922397487
20.5	651.4234052163	69.7101958899
20.6	658.4616748861	70.1388600918
20.7	665.5322322884	70.5753680283
20.8	672.6303236325	70.9933535312
20.9	679.7511963938	71.4298614677
21	686.8905284908	71.865075588
21.1	694.0454803389	72.3015835246
21.2	701.2148531016	72.7369989329
21.3	708.3990886905	73.1735068694
21.4	715.6002697651	73.5783485987
21.5	722.822119733	74.0148565352
21.6	730.0700014839	74.4298499418
21.7	737.3504882124	74.8478098601
21.8	744.6703113642	75.2843177966
21.9	752.036202385	75.7007875169
22	759.4548927205	76.1125459801
22.1	766.9331138164	76.5203642021
22.2	774.4775971184	76.9081737747
22.3	782.0950011986	77.2637780542
22.4	789.7910645972	77.6606034511
22.5	797.5700592698	78.0574288479
22.6	805.4347814779	78.4939367844
22.7	813.3865517887	78.9551941943
22.8	821.4252150753	79.4520580525
22.9	829.5491405168	79.9570978566
23	837.755294472	80.49602398
23.1	846.0400876369	81.0118969959
23.2	854.3999215984	81.5277700117
23.3	862.8311979435	82.0436430276
23.4	871.3303182589	82.5380433492
23.5	879.8936858539	83.0142338254
23.6	888.5177257797	83.5102733375
23.7	897.1988977464	84.0046515639
23.8	905.933696338	84.48084204
23.9	914.7186510122	84.9570325162
24	923.5503261007	85.4117713119
24.1	932.425320809	85.8697519427
24.2	941.3402674946	86.3459424189
24.3	950.2918116461	86.8411042834
24.4	959.2765989677	87.3589718786
24.5	968.2912751634	87.9008424698
24.6	977.3324622787	88.4075615217
24.7	986.3962145514	88.944886218
24.8	995.4774742628	89.3282278499
24.9	1004.5700480789	89.8441008658
25	1013.6666070507	90.3013199536
25.1	1022.7586866137	90.7372944865
25.2	1031.8366865885	91.1478048477
25.3	1040.889894839	91.5746053091
25.4	1049.9070314214	91.958572012
25.5	1058.8767927335	92.4781410522
25.6	1067.7878751728	92.8004230609
25.7	1076.6290502694	93.157565918
25.8	1085.3936726185	93.5133387169
25.9	1094.0866671775	93.8704815741
26	1102.7251303236	94.2464858703
26.1	1111.3383298537	94.6561699611
26.2	1119.9677049846	95.1024656382
26.3	1128.6668663526	95.6149596643
26.4	1137.501520882	96.1631767428
26.5	1146.5449638511	96.7401359704
26.6	1155.871091596	97.3750566053
26.7	1165.5538004528	98.0099772402
26.8	1175.6652812546	98.6237355554
26.9	1186.2561928573	99.2189706155
27	1197.3428708663	99.8127660093
27.1	1208.9071144483	100.3944898646
27.2	1220.8961863318	100.9701426076
27.3	1233.2228128066	101.5108350627
27.4	1245.765183724	102.0267080786
27.5	1258.3686580003	102.5637434142
27.6	1270.8673659558	103.1193020048
27.7	1283.117645029	103.6513702903
27.8	1295.011571958	104.1880960232
27.9	1306.477184764	104.7235543914
28	1317.4784827508	105.2628451188
28.1	1328.015426505	105.7928789052
28.2	1338.1239378961	106.3345828644
28.3	1347.8741242109	106.8504558802
28.4	1357.3496337126	107.3898161662
28.5	1366.634336648	107.887495986
28.6	1375.8120272279	108.3636864622
28.7	1384.9618614767	108.8313223273
28.8	1394.1512858986	109.3148457253
28.9	1403.4354291913	109.7652052581
29	1412.8571022455	110.235141366
29.1	1422.4467981452	110.6589365492
29.2	1432.2226921678	111.0516954442
29.3	1442.1907178197	111.4882033807
29.4	1452.3491289868	111.9247113172
29.5	1462.6955712686	112.3533596262
29.6	1473.2277437765	112.8121593201
29.7	1483.9446299109	113.2348585521
29.8	1494.8477281387	113.66336475
29.9	1505.9411055049	114.1618149241
30	1517.2313976328	114.6380054003
30.1	1528.727808724	115.1141958765
30.2	1540.4421115584	115.6561173672
30.3	1552.3885939821	116.1642438824
30.4	1564.5828191187	116.7398625107
30.5	1577.0373396172	117.3558150979
30.6	1589.754155397	117.9510531932
30.7	1602.7235871821	118.5462912884
30.8	1615.9242765012	119.1601494266
30.9	1629.3231856873	119.7355237077
31	1642.8755978783	120.3369296061
31.1	1656.5251260284	120.9321677013
31.2	1670.2078817408	121.5274057966
31.3	1683.8673689379	122.1423947039
31.4	1697.45863111	122.7773153388
31.5	1710.9482602256	123.3686532487
31.6	1724.3143967318	123.9826838745
31.7	1737.5467295541	124.6019833466
31.8	1750.6464960966	125.1715032432
31.9	1763.6253678575	125.7465461216
32	1776.4978670666	126.3025828863
32.1	1789.2779084988	126.8447077653
32.2	1801.9787247687	127.3735812291
32.3	1814.6128663301	127.8905255287
32.4	1827.1922014767	128.4013066475
32.5	1839.7279163415	128.9194264174
32.6	1852.2305154232	129.45549465
32.7	1864.7100016584	129.9908181844
32.8	1877.1768684912	130.4951420842
32.9	1889.6435253376	131.0626598738
33	1902.124502108	131.6182154294
33.1	1914.6364492077	132.1509243944
33.2	1927.1981375365	132.7129444512
33.3	1939.8304584889	133.2685000068
33.4	1952.5564223179	133.7998484302
33.5	1965.4005685231	134.3803837783
33.6	1978.385509467	134.9164236686
33.7	1991.5284759422	135.4322966845
33.8	2004.8410376106	135.9710162909
33.9	2018.3291030024	136.5038962502
34	2031.9929195165	137.0197692661
34.1	2045.8270734205	137.5598494141
34.2	2059.8205240953	138.07572243
34.3	2073.9584631512	138.6111111111
34.4	2088.224981905	139.2063492064
34.5	2102.6032633321	139.8015873016
34.6	2117.0755820661	140.4166764659
34.7	2131.6233043989	141.0515971008
34.8	2146.2268882809	141.6865177357
34.9	2160.865916744	142.2964590275
35	2175.5212988354	142.9313796624
35.1	2190.1788952185	143.5266177576
35.2	2204.8298675618	144.0968809359
35.3	2219.4706785381	144.6722679621
35.4	2234.1030918251	145.2278235177
35.5	2248.7341721052	145.7833999305
35.6	2263.376221688	146.3639348292
35.7	2278.0441121111	146.9194903848
35.8	2292.7515359057	147.4750459403
35.9	2307.5107141638	148.0555764128
36	2322.3323965381	148.6111319683
36.1	2337.2258612422	149.1666875239
36.2	2352.1989150503	149.7408436495
36.3	2367.2573444741	150.3162404114
36.4	2382.4017684552	150.892856095
36.5	2397.6267718849	151.4880941902
36.6	2412.9209316228	152.0833322855
36.7	2428.2668164973	152.6785703807
36.8	2443.6409873051	153.2939857133
36.9	2459.0140570436	153.9102849209
37	2474.3548843023	154.5253643495
37.1	2489.6400272009	155.1585880637
37.2	2504.8557967891	155.7798004571
37.3	2519.998261683	156.3750385523
37.4	2535.073248065	156.9938723181
37.5	2550.0963396834	157.568933176
37.6	2565.0931327143	158.1244887315
37.7	2580.0992848089	158.6800442871
37.8	2595.157276728	159.2162366353
37.9	2610.3159698735	159.7654001586
38	2625.6306062885	160.3606382538
38.1	2641.1628086573	160.9521219656
38.2	2656.9803459728	161.5870426005
38.3	2673.1427584664	162.2420496233
38.4	2689.675901686	162.9166527979
38.5	2706.5677086314	163.5912559725
38.6	2723.7681503678	164.2664488462
38.7	2741.1892360258	164.9410520208
38.8	2758.7069775823	165.5958139083
38.9	2776.184464769	166.2509006566
39	2793.5006609039	166.9054174434
39.1	2810.5724414513	167.5403380783
39.2	2827.356468685	168.1752587132
39.3	2843.8491916885	168.7900073832
39.4	2860.0867248596	169.3852454784
39.5	2876.1400887349	169.9804835736
39.6	2892.089575019	170.5555555556
39.7	2908.009889234	171.1111111111
39.8	2923.9699051215	171.6666666667
39.9	2940.0326646428	172.2222222222
40	2956.2552893617	172.7777777778
40.1	2972.683784899	173.373015873
40.2	2989.3475939141	173.9682539683
40.3	3006.2616815612	174.5634920635
40.4	3023.4266569845	175.1984126984
40.5	3040.8287733185	175.8531067835
